t,cmd_ts,cmd_age_ms,cmd_fresh,ramping,target_0,target_1,target_2,target_3,target_4,target_5,target_6,applied_0,applied_1,applied_2,applied_3,applied_4,applied_5,applied_6,meas_0,meas_1,meas_2,meas_3,meas_4,meas_5,meas_gripper,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,eff_0,eff_1,eff_2,eff_3,eff_4,eff_5
1787275027.664071,1787275027.661026,3.045,1,1,-0.006191,0.410749,0.368482,0.028858,-0.010435,-0.018921,1.000000,-0.006637,0.407507,0.294978,0.275880,-0.010837,-0.019939,0.997566,-0.006676,0.416762,0.287060,0.249676,-0.011254,-0.020790,0.997282,-0.002442,0.129426,-0.129426,-0.329670,0.007326,0.007326,-0.034188,1.675214,7.104274,2.376068,-0.017094,-0.007326
1787275027.669072,1787275027.666027,3.045,1,1,-0.006261,0.410900,0.358479,0.038861,-0.010552,-0.019133,1.000000,-0.006641,0.407531,0.294411,0.275819,-0.010845,-0.019953,0.997574,-0.006676,0.417144,0.286679,0.248531,-0.011254,-0.020790,0.997282,-0.002442,0.134310,-0.129426,-0.315018,-0.007326,-0.021978,-0.047863,1.593162,7.117949,2.361416,-0.021978,-0.007326
1787275027.674071,1787275027.671029,3.042,1,1,-0.006320,0.411029,0.348474,0.048866,-0.010652,-0.019316,1.000000,-0.006645,0.407555,0.293776,0.275824,-0.010853,-0.019966,0.997583,-0.006676,0.418288,0.285153,0.245861,-0.011254,-0.020790,0.997282,-0.002442,0.148962,-0.173382,-0.315018,-0.021978,-0.007326,-0.047863,1.401709,7.336752,2.380952,-0.012210,-0.007326
1787275027.679072,1787275027.676027,3.044,1,1,-0.006371,0.411140,0.338478,0.058862,-0.010738,-0.019472,1.000000,-0.006648,0.407577,0.293076,0.275895,-0.010860,-0.019977,0.997592,-0.006676,0.419051,0.284771,0.245480,-0.011254,-0.020790,0.997282,-0.002442,0.148962,-0.163614,-0.241758,-0.007326,-0.021978,-0.047863,1.360684,7.254701,2.371184,-0.012210,-0.007326
1787275027.684072,1787275027.681635,2.437,1,1,-0.006419,0.411244,0.327263,0.070077,-0.010819,-0.019619,1.000000,-0.006652,0.407600,0.292196,0.276147,-0.010867,-0.019989,0.997601,-0.006676,0.419814,0.283627,0.243191,-0.011254,-0.020790,0.997282,-0.002442,0.129426,-0.153846,-0.285714,0.007326,-0.021978,-0.047863,1.374359,7.350427,2.351648,-0.007326,-0.007326
1787275027.689071,1787275027.686276,2.795,1,1,-0.006453,0.411319,0.317984,0.079356,-0.010878,-0.019725,1.000000,-0.006654,0.407621,0.291428,0.276287,-0.010873,-0.019998,0.997610,-0.006676,0.420195,0.283246,0.243191,-0.011635,-0.020790,0.997282,-0.002442,0.109890,-0.148962,-0.139194,0.007326,-0.007326,-0.047863,1.347009,7.350427,2.346764,-0.012210,-0.007326
1787275027.694071,1787275027.691256,2.816,1,1,-0.006485,0.411388,0.308024,0.089316,-0.010931,-0.019822,1.000000,-0.006657,0.407641,0.290530,0.276556,-0.010878,-0.020007,0.997619,-0.006676,0.420958,0.282101,0.242428,-0.011635,-0.020790,0.997282,-0.007326,0.114774,-0.148962,-0.109890,-0.007326,-0.007326,-0.020513,1.292308,7.350427,2.278388,-0.007326,-0.002442
1787275027.699071,1787275027.696738,2.332,1,1,-0.006515,0.411452,0.298002,0.100281,-0.010981,-0.019913,1.000000,-0.006659,0.407662,0.289559,0.276996,-0.010883,-0.020016,0.997627,-0.006676,0.420958,0.282101,0.242428,-0.011635,-0.020790,0.997282,-0.007326,0.114774,-0.148962,-0.109890,-0.007326,-0.007326,-0.020513,1.292308,7.350427,2.278388,-0.007326,-0.002442
1787275027.704072,1787275027.701904,2.167,1,1,-0.006538,0.411504,0.297123,0.110616,-0.011021,-0.019986,1.000000,-0.006661,0.407682,0.289497,0.277441,-0.010888,-0.020023,0.997636,-0.006676,0.422103,0.280575,0.242046,-0.011254,-0.020790,0.997282,-0.007326,0.109890,-0.148962,-0.021978,-0.007326,-0.007326,-0.034188,1.237607,7.323077,2.224664,-0.012210,-0.012210
1787275027.709071,1787275027.706321,2.750,1,1,-0.006556,0.411542,0.296468,0.119450,-0.011051,-0.020040,1.000000,-0.006663,0.407700,0.289453,0.277790,-0.010892,-0.020029,0.997645,-0.006676,0.422103,0.280575,0.242046,-0.011254,-0.020790,0.997282,-0.007326,0.109890,-0.148962,-0.021978,-0.007326,-0.007326,-0.034188,1.237607,7.323077,2.224664,-0.012210,-0.012210
1787275027.714071,1787275027.711349,2.721,1,1,-0.006573,0.411580,0.295829,0.129504,-0.011080,-0.020093,1.000000,-0.006664,0.407719,0.289407,0.278337,-0.010896,-0.020035,0.997654,-0.006676,0.422866,0.279812,0.241665,-0.011254,-0.020790,0.997282,-0.002442,0.109890,-0.148962,-0.036630,0.007326,-0.007326,-0.034188,1.169231,7.295726,2.214896,-0.017094,-0.007326
1787275027.719071,1787275027.716429,2.643,1,1,-0.006588,0.411612,0.295278,0.139663,-0.011105,-0.020139,1.000000,-0.006666,0.407737,0.289367,0.278962,-0.010899,-0.020040,0.997663,-0.006676,0.424010,0.279049,0.241665,-0.011254,-0.020790,0.997282,0.002442,0.139194,-0.144078,-0.051282,-0.007326,-0.007326,-0.034188,0.991453,7.268376,2.219780,-0.017094,-0.012210
1787275027.724072,1787275027.722043,2.029,1,1,-0.006602,0.411642,0.294764,0.150889,-0.011129,-0.020181,1.000000,-0.006667,0.407755,0.289328,0.279784,-0.010903,-0.020046,0.997671,-0.006676,0.424392,0.278286,0.241665,-0.011254,-0.020790,0.997282,0.002442,0.139194,-0.153846,-0.021978,0.021978,-0.007326,-0.034188,0.964103,7.350427,2.224664,-0.021978,-0.012210
1787275027.729072,1787275027.726686,2.386,1,1,-0.006612,0.411664,0.294396,0.160175,-0.011145,-0.020212,1.000000,-0.006668,0.407773,0.289303,0.280441,-0.010906,-0.020050,0.997680,-0.006676,0.425536,0.277523,0.241665,-0.011254,-0.020790,0.997282,-0.002442,0.139194,-0.134310,-0.021978,-0.021978,-0.021978,-0.034188,0.895726,7.377778,2.244200,-0.021978,-0.012210
1787275027.734071,1787275027.731184,2.888,1,1,-0.006620,0.411682,0.294086,0.169169,-0.011159,-0.020237,1.000000,-0.006669,0.407790,0.289283,0.281123,-0.010908,-0.020054,0.997689,-0.006676,0.425917,0.276761,0.241283,-0.011254,-0.020790,0.997282,-0.002442,0.124542,-0.144078,-0.036630,-0.021978,-0.007326,-0.034188,0.895726,7.487179,2.253968,-0.017094,-0.012210
1787275027.739072,1787275027.736064,3.008,1,1,-0.006628,0.411699,0.293797,0.178940,-0.011173,-0.020261,1.000000,-0.006670,0.407807,0.289264,0.281966,-0.010911,-0.020058,0.997698,-0.006676,0.426299,0.275998,0.241283,-0.011254,-0.020790,0.997282,-0.007326,0.085470,-0.129426,-0.021978,-0.007326,-0.007326,-0.034188,0.923077,7.459829,2.307692,-0.021978,-0.012210
1787275027.744072,1787275027.741111,2.961,1,1,-0.006635,0.411714,0.293541,0.189026,-0.011184,-0.020283,1.000000,-0.006670,0.407824,0.289247,0.282916,-0.010914,-0.020061,0.997707,-0.006676,0.426680,0.275616,0.241283,-0.011254,-0.020790,0.997282,-0.002442,0.090354,-0.119658,-0.007326,-0.007326,0.007326,-0.034188,0.895726,7.432479,2.322344,-0.021978,-0.012210
1787275027.749075,1787275027.746377,2.697,1,1,-0.006641,0.411727,0.293314,0.199563,-0.011195,-0.020301,1.000000,-0.006671,0.407840,0.289232,0.283994,-0.010916,-0.020065,0.997716,-0.006676,0.427443,0.274472,0.241283,-0.011254,-0.020790,0.997282,-0.002442,0.095238,-0.119658,-0.007326,-0.007326,-0.021978,-0.020513,0.827350,7.514530,2.346764,-0.017094,-0.012210
1787275027.754076,1787275027.751346,2.730,1,1,-0.006646,0.411738,0.293130,0.209496,-0.011203,-0.020317,1.000000,-0.006672,0.407857,0.289222,0.285059,-0.010918,-0.020068,0.997724,-0.006676,0.427443,0.274472,0.241283,-0.011254,-0.020790,0.997282,-0.002442,0.095238,-0.119658,-0.007326,-0.007326,-0.021978,-0.020513,0.827350,7.514530,2.346764,-0.017094,-0.012210
1787275027.759076,1787275027.756372,2.703,1,1,-0.006650,0.411747,0.292971,0.219555,-0.011210,-0.020330,1.000000,-0.006672,0.407873,0.289215,0.286208,-0.010921,-0.020071,0.997733,-0.006676,0.427825,0.274472,0.241283,-0.011254,-0.020790,0.997282,-0.002442,0.090354,-0.095238,-0.007326,-0.007326,0.007326,-0.034188,0.868376,7.405128,2.366300,-0.017094,-0.012210
1787275027.764076,1787275027.761031,3.045,1,1,-0.006654,0.411755,0.292843,0.228870,-0.011216,-0.020340,1.000000,-0.006673,0.407890,0.289211,0.287315,-0.010923,-0.020073,0.997742,-0.006676,0.428206,0.274090,0.241283,-0.011635,-0.020790,0.997282,-0.002442,0.036630,-0.046398,-0.007326,-0.021978,-0.007326,-0.034188,0.977778,7.336752,2.424908,-0.012210,-0.012210
1787275027.769075,1787275027.766032,3.043,1,1,-0.006657,0.411762,0.292725,0.238874,-0.011222,-0.020350,1.000000,-0.006673,0.407906,0.289207,0.288587,-0.010924,-0.020076,0.997751,-0.006676,0.428206,0.273709,0.240902,-0.011254,-0.020790,0.997282,-0.002442,0.041514,-0.061050,-0.021978,-0.021978,-0.021978,-0.047863,0.950427,7.364103,2.473748,-0.012210,-0.012210
1787275027.774075,1787275027.771032,3.043,1,1,-0.006660,0.411768,0.292624,0.248872,-0.011226,-0.020359,1.000000,-0.006673,0.407922,0.289205,0.289925,-0.010926,-0.020078,0.997760,-0.006676,0.428588,0.273327,0.240902,-0.011254,-0.020790,0.997282,-0.002442,0.051282,-0.075702,-0.021978,0.007326,-0.007326,-0.034188,0.977778,7.377778,2.581197,-0.012210,-0.007326
1787275027.779076,1787275027.776033,3.042,1,1,-0.006662,0.411773,0.292538,0.258878,-0.011230,-0.020366,1.000000,-0.006674,0.407938,0.289205,0.291331,-0.010928,-0.020080,0.997768,-0.006676,0.428588,0.272946,0.240902,-0.011635,-0.020790,0.997282,-0.002442,0.031746,-0.085470,-0.007326,-0.007326,0.007326,-0.034188,1.046154,7.514530,2.605617,-0.017094,-0.007326
1787275027.784076,1787275027.781033,3.044,1,1,-0.006664,0.411777,0.292464,0.268876,-0.011233,-0.020372,1.000000,-0.006674,0.407953,0.289207,0.292803,-0.010930,-0.020083,0.997777,-0.006676,0.428588,0.272564,0.240902,-0.011254,-0.020790,0.997282,-0.002442,0.017094,-0.090354,0.007326,-0.007326,-0.007326,-0.047863,1.059829,7.514530,2.620269,-0.017094,-0.012210
