t,cmd_ts,cmd_age_ms,cmd_fresh,ramping,target_0,target_1,target_2,target_3,target_4,target_5,target_6,applied_0,applied_1,applied_2,applied_3,applied_4,applied_5,applied_6,meas_0,meas_1,meas_2,meas_3,meas_4,meas_5,meas_gripper,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,eff_0,eff_1,eff_2,eff_3,eff_4,eff_5
1787275027.612894,1787275027.611027,1.868,1,1,0.002479,0.416470,0.295177,0.301208,-0.001717,-0.007698,1.000000,0.002480,0.416385,0.295804,0.305541,-0.001717,-0.007815,0.995245,0.002480,0.419432,0.295071,0.284390,-0.002098,-0.007820,0.994870,-0.002442,0.036630,-0.075702,-0.402930,-0.021978,-0.007326,-0.075214,2.495726,6.051282,2.039072,-0.012210,-0.017094
1787275027.617896,1787275027.616028,1.868,1,1,0.002479,0.416729,0.295325,0.300985,-0.001717,-0.007661,1.000000,0.002480,0.416398,0.295809,0.305514,-0.001717,-0.007812,0.995262,0.002480,0.420195,0.293927,0.283246,-0.002098,-0.008202,0.994870,-0.002442,0.070818,-0.119658,-0.241758,-0.007326,-0.007326,-0.088889,2.276923,6.365812,2.048840,-0.007326,-0.017094
1787275027.622894,1787275027.621027,1.868,1,1,0.002479,0.416952,0.295452,0.300794,-0.001717,-0.007629,1.000000,0.002480,0.416411,0.295814,0.305488,-0.001717,-0.007810,0.995278,0.002480,0.420577,0.293545,0.281720,-0.002098,-0.008202,0.994870,-0.002442,0.105006,-0.129426,-0.300366,0.007326,-0.021978,-0.088889,2.181197,6.488889,2.053724,-0.017094,-0.012210
1787275027.627895,1787275027.626026,1.868,1,1,0.002479,0.417143,0.295561,0.300631,-0.001717,-0.007602,1.000000,0.002480,0.416424,0.295819,0.305462,-0.001717,-0.007808,0.995295,0.002480,0.421721,0.292401,0.278668,-0.002098,-0.008202,0.994870,0.002442,0.153846,-0.168498,-0.344322,0.007326,-0.007326,-0.088889,1.935043,6.694017,2.185592,-0.026862,-0.007326
1787275027.632894,1787275027.631026,1.868,1,1,0.002479,0.417306,0.295655,0.300490,-0.001717,-0.007579,1.000000,0.002480,0.416436,0.295824,0.305437,-0.001717,-0.007806,0.995312,0.002480,0.422484,0.291638,0.277523,-0.002098,-0.008202,0.994870,-0.002442,0.139194,-0.158730,-0.344322,-0.007326,-0.021978,-0.088889,1.894017,6.721368,2.244200,-0.031746,-0.007326
1787275027.637896,1787275027.636028,1.868,1,1,0.002479,0.417447,0.295735,0.300370,-0.001717,-0.007559,1.000000,0.002480,0.416448,0.295828,0.305412,-0.001717,-0.007804,0.995328,0.002480,0.423629,0.290494,0.275616,-0.002098,-0.008202,0.994870,0.002442,0.134310,-0.144078,-0.241758,-0.021978,-0.007326,-0.088889,1.757265,6.789744,2.307692,-0.036630,-0.012210
1787275027.642895,1787275027.641027,1.868,1,1,0.002479,0.417567,0.295804,0.300267,-0.001717,-0.007542,1.000000,0.002480,0.416460,0.295832,0.305387,-0.001717,-0.007802,0.995345,0.002480,0.423629,0.290494,0.275616,-0.002098,-0.008202,0.994870,0.002442,0.134310,-0.144078,-0.241758,-0.021978,-0.007326,-0.088889,1.757265,6.789744,2.307692,-0.036630,-0.012210
1787275027.647894,1787275027.646027,1.868,1,1,0.002479,0.417670,0.295863,0.300179,-0.001717,-0.007527,1.000000,0.002480,0.416471,0.295836,0.305362,-0.001717,-0.007800,0.995362,0.002480,0.424773,0.289349,0.273327,-0.002098,-0.008202,0.994870,-0.002442,0.109890,-0.134310,-0.168498,-0.007326,-0.007326,-0.088889,1.743590,6.912821,2.302808,-0.026862,-0.012210
1787275027.652894,1787275027.651027,1.867,1,1,0.002479,0.417758,0.295913,0.300103,-0.001717,-0.007514,1.000000,0.002480,0.416482,0.295840,0.305338,-0.001717,-0.007798,0.995378,0.002480,0.424773,0.289349,0.273327,-0.002098,-0.008202,0.994870,-0.002442,0.109890,-0.134310,-0.168498,-0.007326,-0.007326,-0.088889,1.743590,6.912821,2.302808,-0.026862,-0.012210
1787275027.657895,1787275027.656027,1.868,1,1,0.002479,0.417834,0.295956,0.300038,-0.001717,-0.007503,1.000000,0.002480,0.416492,0.295844,0.305315,-0.001717,-0.007796,0.995395,0.002480,0.425154,0.288586,0.272946,-0.001717,-0.008202,0.994870,-0.002442,0.095238,-0.144078,-0.153846,0.007326,-0.007326,-0.075214,1.729915,6.953846,2.288156,-0.031746,-0.012210
1787275027.662894,1787275027.661026,1.868,1,1,0.002479,0.417899,0.295993,0.299983,-0.001717,-0.007494,1.000000,0.002480,0.416502,0.295847,0.305291,-0.001717,-0.007794,0.995411,0.002480,0.425536,0.288205,0.272183,-0.001717,-0.008202,0.994870,-0.002442,0.109890,-0.119658,-0.183150,-0.021978,-0.007326,-0.088889,1.606838,6.926496,2.293040,-0.041514,-0.012210
1787275027.667895,1787275027.666027,1.868,1,1,0.002479,0.417954,0.296025,0.299935,-0.001717,-0.007486,1.000000,0.002480,0.416512,0.295850,0.305268,-0.001717,-0.007792,0.995428,0.002480,0.427443,0.286297,0.269512,-0.002098,-0.008202,0.994870,-0.002442,0.158730,-0.153846,-0.197802,-0.007326,-0.021978,-0.075214,1.333333,7.131624,2.395604,-0.021978,-0.012210
1787275027.672900,1787275027.671029,1.871,1,1,0.002479,0.418002,0.296052,0.299894,-0.001717,-0.007479,1.000000,0.002480,0.416521,0.295853,0.305245,-0.001717,-0.007791,0.995445,0.002480,0.427443,0.286297,0.269512,-0.002098,-0.008202,0.994870,-0.002442,0.158730,-0.153846,-0.197802,-0.007326,-0.021978,-0.075214,1.333333,7.131624,2.395604,-0.021978,-0.012210
1787275027.677898,1787275027.676027,1.871,1,1,0.002479,0.418043,0.296076,0.299859,-0.001717,-0.007474,1.000000,0.002480,0.416530,0.295856,0.305222,-0.001717,-0.007789,0.995461,0.002480,0.428206,0.286297,0.269131,-0.002098,-0.008202,0.994870,-0.002442,0.158730,-0.114774,-0.168498,-0.021978,-0.007326,-0.075214,1.305983,7.104274,2.415140,-0.026862,-0.012210
1787275027.682898,1787275027.681635,1.263,1,1,0.002479,0.418081,0.296098,0.299826,-0.001717,-0.007468,1.000000,0.002480,0.416539,0.295859,0.305200,-0.001717,-0.007787,0.995478,0.002480,0.429351,0.285153,0.267987,-0.002098,-0.008202,0.994870,0.002442,0.163614,-0.144078,-0.139194,-0.007326,-0.007326,-0.075214,1.155556,7.282051,2.410256,-0.026862,-0.012210
1787275027.687899,1787275027.686276,1.623,1,1,0.002479,0.418109,0.296114,0.299802,-0.001717,-0.007464,1.000000,0.002480,0.416548,0.295861,0.305177,-0.001717,-0.007786,0.995495,0.002480,0.430114,0.284390,0.267605,-0.002098,-0.008202,0.994870,-0.002442,0.134310,-0.153846,-0.124542,-0.007326,-0.007326,-0.088889,1.196581,7.350427,2.405372,-0.031746,-0.012210
1787275027.692898,1787275027.691256,1.642,1,1,0.002479,0.418135,0.296128,0.299780,-0.001717,-0.007461,1.000000,0.002480,0.416556,0.295864,0.305155,-0.001717,-0.007784,0.995511,0.002480,0.430114,0.284009,0.267605,-0.001717,-0.008202,0.994870,-0.007326,0.100122,-0.139194,-0.080586,0.007326,-0.007326,-0.075214,1.264957,7.309402,2.385836,-0.031746,-0.012210
